N002,N001,1
N004,N002,1
N005,N002,1
N005,N004,1
N006,N002,1
N006,N005,1
N007,N004,1
N007,N005,1
N007,N006,1
N013,N002,1
N019,N002,1
N021,N013,1
N027,N018,1
N029,N002,1
N029,N004,1
N029,N007,1
N031,N029,1
N032,N001,1
N033,N031,1
N034,N002,1
N034,N013,1
N035,N004,1
N035,N029,1
N035,N031,1
N038,N013,1
N038,N021,1
N040,N031,1
N040,N035,1
N041,N035,1
N043,N027,1
N047,N035,1
N055,N007,1
N058,N004,1
N060,N005,1
N060,N006,1
N060,N007,1
N061,N005,1
N061,N060,1
N062,N005,1
N062,N006,1
N062,N060,1
N062,N061,1
N063,N004,1
N063,N005,1
N063,N006,1
N063,N060,1
N064,N006,1
N065,N002,1
N065,N009,1
N065,N013,1
N065,N034,1
N066,N002,1
N066,N034,1
N066,N065,1
N067,N060,1
N068,N063,1
N069,N060,1
N070,N002,1
N070,N013,1
N070,N065,1
N071,N060,1
N073,N031,1
N073,N041,1
N074,N063,1
N075,N002,1
N075,N013,1
N076,N013,1
N077,N031,1
N077,N040,1
N078,N004,1
N078,N007,1
N079,N002,1
N079,N013,1
N079,N065,1
N080,N001,1
N080,N002,1
N080,N013,1
N081,N013,1
N082,N013,1
N083,N002,1
N083,N080,1
N084,N038,1
N085,N013,1
N085,N082,1
N086,N038,1
N087,N007,1
N088,N075,1
N089,N031,1
N089,N040,1
N090,N082,1
N091,N002,1
N092,N001,1
N092,N002,1
N093,N035,1
N093,N051,1
N093,N089,1
N094,N089,1
N116,N063,1
N118,N066,1
N119,N074,1
N122,N002,1
N122,N013,1
N122,N080,1
N122,N123,1
N123,N002,1
N123,N013,1
N123,N080,1
N124,N082,1
N125,N029,1
N126,N029,1
